,laptops,prices,ratings,votes
0,"HP Chromebook 11 G3 11.6"" Laptop, Black, INTEL Celeron N2840, 2G RAM, 16G SSD, Bluetooth 4.0, Chrome OS-Refurbished",$179.99,80.0,(4)
1,"ASUS Chromebook 11.6"" Rugged Laptop-Dark Grey (Intel Dual-Core Celeron N3060/16GB eMMC/ 2GB RAM)",$260.89,58.2,(11)
2,"Acer Chromebook 11.6"" Laptop - White (Intel Celeron N2840/ 16GB eMMC/ 2GB RAM/ Chrome OS)",$230.85,68.0,(25)
3,"Lenovo N23 80YS0000US 11.6"" LCD Chromebook - Intel Celeron N3060 Dual-core (2 Core) 1.60 GHz - 2GB LPDDR4 - 16GB Flash Memory",$223.89,20.0,(1)
4,"Lenovo N23 11.6"" Chromebook (Intel N3060/16GB eMMC/2GB RAM/Chrome OS) - 80YS0000US",$280.99,40.0,(1)
5,"HP 10.1"" Touchscreen Convertible Laptop - Turbo Silver (Intel Atom x5-Z8350/32GB eMMC/2GB RAM/Win10)",$380.88,20.0,(2)
6,"ASUS 14"" Laptop - Star Grey (Intel Dual-Core Celeron N3060/64GB eMMC HDD/4GB RAM/Windows 10)",$350.89,100.0,(1)
7,"Refurbished HP 215 AMD A6-1450 1Ghz, 4GB Ram, 500GB Drive, Radeon HD 8250, BTT 4.0, HDMI, Touch, webcam, Win 10 Home",$199.00,80.0,(4)
8,"ASUS VivoBook 15.6"" Laptop - Black/Gold (Intel Pentium N4200 / 500GB HDD / 4GB RAM / Windows 10)",$500.89,73.4,(3)
9,"ASUS VivoBook 15.6"" Laptop - Black/Gold (Intel Pentium N4200/500GB HDD/4GB RAM/Windows 10)-Open Box",$360.89,100.0,(1)
10,"HP Stream 14"" Laptop - Blue (Intel Celeron N3060/32GB eMMC/4GB RAM/Windows 10)",$300.89,52.4,(21)
11,"Acer CB3 11.6"" Chromebook - White (Intel Celeron N3060/32GB HDD/4GB RAM/Chrome OS)",$300.89,66.6,(3)
12,"Acer Chromebook 11.6"" Touchscreen Laptop - White (Intel Celeron N3160/32GB eMMC/4GB RAM/Chrome OS)",$360.89,71.2,(18)
13,"Microsoft Surface Laptop 13.5"" - Platinum (Intel Core i5-7200U/128GB SSD/4GB RAM/Win 10 S) - English","$1,300.89",93.8,(80)
14,"HP G4 14"" Chromebook (Intel Celeron N2840/16GB eMMC/4GB RAM/Chrome OS) - T4M32UT#ABA",$350.99,100.0,(1)
15,"HP 15.6"" Laptop - Grey (AMD E2-9000e / 500 GB HDD / 4GB RAM / Windows 10 Home)",$350.89,53.8,(32)
16,"Acer 10.1"" Touchscreen Convertible Laptop - Silver (Intel Atom x5-Z8300/ 64GB eMMC/4 GB/ Windows 10)",$300.89,69.6,(25)
17,"ASUS C301 13.3"" Chromebook -Metallic Grey (Intel Quad-Core Celeron N3160/16GB SSD/4GB RAM/Chrome OS)",$360.89,75.8,(14)
18,"Acer Chromebook R 13.3"" Touch Laptop - White (MediaTek CorePilot M8173C/32GB eMMC/4GB RAM/Chrome OS)",$500.89,82.0,(20)
19,"HP Pavilion x360 11.6"" Touchscreen Convertible Laptop-Silver (Intel Pentium N4200/500GB HDD/4GB RAM)",$550.89,80.0,(7)
20,"Acer Swift 1 13.3"" Laptop - Silver (Intel Pentium N4200/64GB SSD/4 GB RAM/Windows 10)",$500.89,80.0,(3)
21,"ASUS Flip 12.5"" Chromebook - Silver (Intel Core m3-6Y30 / 64GB SSD / 4GB RAM / Chrome OS)",$650.89,77.2,(7)
22,"Acer 15.6"" Laptop - Black (Intel Celeron N3350/500GB HDD/4 GB RAM/Windows 10)",$400.89,60.0,(2)
23,"Acer Switch 3 12.2"" Touchscreen Convertible Laptop (Intel Pentium N4200/64GB eMMC/4 GB RAM/Win10)",$550.89,80.0,(1)
24,"Acer Aspire Switch Alpha 12"" 128GB SSD Windows 10 Tablet with Intel Ci3-6100U Processor - Iron",$800.89,82.6,(16)
25,"HP Chromebook 14 G4 14"" Chromebook - Intel Celeron N2840 Dual-core (2 Core) 2.16 GHz",$380.89,60.0,(2)
26,"HP Stream 14"" Laptop (Intel Celeron N3060/32GB SSD/4GB RAM/Windows 10 Home) - Blue - Open Box",$280.89,38.4,(13)
27,"Acer Aspire ES 17.3"" Laptop - Black (Intel Pentium N4200 / 500GB HDD / 4GB RAM / Windows 10)",$498.88,100.0,(1)
28,"Acer 11.6"" Chromebook - Moonstone White (ICD N2840 / 16GB SSD / 4GB RAM / Chrome OS) - Open Box",$209.89,20.0,(1)
29,"Lenovo Thinkpad E570 - Core i5-7200U, 500GB HDD, 4GB Ram, 15.6"", Win 10 Pro",$750.89,55.0,(4)
30,"HP 15.6"" Laptop - Grey (Intel Pentium N3710 / 500GB HDD / 4GB RAM / Windows 10) - Open Box",$330.89,20.0,(1)
31,"Lenovo N42-20 14"" Touchscreen Chromebook (Intel Celeron N3060/ 16GB eMMC/ 2GB RAM/ Chrome OS) - 80VJ0000US",$375.99,100.0,(1)
32,"HP ProBook 640 14"" Laptop - Black (Intel Core i5-4200M/320GB HDD/4GB RAM/Windows 8) - Eng - Refurb",$569.99,100.0,(1)
33,"Dell Inspiron 3000 15.6"" Laptop - Black (Intel Pentium N3700/500GB HDD/4GB RAM/Windows 10) -Open Box",$370.89,72.6,(8)
