,laptops,prices,ratings,votes
0,"Dell Inspiron 15 15.6"" Touchscreen Laptop (Intel Core i5 1334U/8GB RAM/512GB SSD/Windows 11)",$500.39,4.64,505
1,"ASUS Vivobook Go 15 15.6"" Laptop - Mixed Black (Intel Core i3-N305/8GB RAM/512GB SSD/Windows 11)",$400.37,4.13,23
2,"Acer Aspire Lite 15.6"" Laptop - Silver (Intel N150/8GB RAM/512GB SSD/Windows 11)",$350.39,4.29,7
3,"Lenovo IdeaPad Slim 3i 15.3"" Laptop - Luna Grey (Intel Core 3 - 100U/8GB RAM/512GB SSD/Windows 11)",$450.39,4.82,11
4,"Acer Aspire Go 15.6"" Laptop - Iron (Intel Core i5-13420H/8GB RAM/512GB SSD/Windows 11)",$500.39,4.4,5
5,"HP 14"" Laptop - Jet Black (Intel N100/8GB RAM/256GB SSD/Windows 11)",$370.39,4.07,14
6,"ASUS Vivobook Go 15 15.6"" Laptop - Mixed Black (AMD Ryzen 5 7520U/8GB RAM/512GB SSD/Windows 11)",$500.39,4.05,56
7,"Open Box - Dell Inspiron 15 15.6"" Touchscreen Laptop (Intel Core i5 1334U/8GB RAM/512GB SSD/Windows 11)",$450.39,4.5,2
8,"HP 15.6"" Laptop - Chalkboard Grey (Intel Core i3 N305/8GB RAM/512GB SSD/Windows 11)",$400.37,4.8,5
9,"Dell Dc15250 15.6"" Laptop with Intel® Core™ i5-1334U Processor, 512GB SSD, 8 GB RAM, Intel® UHD Graphics, Windows 11 Home - Carbon Black",$699.99,0.0,0
10,"ASUS - Vivobook 14"" FHD 1920 x 1080 Laptop - Intel Core i3-1215U Processor - 8GB Memory - 128GB SSD - Quiet Blue - 1 x HDMI 1.4 - Wi-Fi 6E - Windows 11 Home in S Mode",$399.99,4.4,836
11,"Open Box - Dell Inspiron 15 15.6"" Touchscreen Laptop (Intel Core i5 1334U/8GB RAM/512GB SSD/Windows 11)",$429.99,0.0,0
12,Refurbished (Good) - Lenovo ThinkPad X270 - 8GB DDR4 RAM - 256 SSD - W10Pro,$179.99,0.0,0
13,"Open Box - Acer Aspire Lite 15.6"" Laptop - Silver (Intel N150/8GB RAM/512GB SSD/Windows 11)",$320.39,0.0,0
14,"HP 15.6"" Laptop - Natural Silver (AMD Ryzen 3-7320U /8GB RAM/512GB SSD/Windows 11)",$600.39,3.5,8
15,ASUS TUF Gaming A15 Gaming Laptop (15.6” Full HD Display / AMD Ryzen™ 5 7535HS processor / NVIDIA® GeForce RTX™ 3050 / 8GB RAM / 512GB SSD / FA506NC-DS51-CA),$1049.4,2.5,4
16,"Refurbished (Good) - Microsoft Surface Laptop 3 13.5"" - (Intel Core i5-1035G7/256GB SSD/8GB RAM) - Windows 11",$377.47,5.0,1
17,"Refurbished (Good) - Dell Computer Desktop PC with 22 Inch Monitor, Intel i5 4-Core Processor, 8GB RAM, 256GB SSD, RGB Gaming Keyboard and Mouse, WiFi, Windows 10 Pro",$469.99,0.0,0
18,"HP - 15.6"" Touch-Screen Laptop - Intel Core 6-Core i3 -1215u - 8GB RAM- 256GB SSD - Natural Silver, Intel UHD Graphics, Windows 11 Home S mode, HDMI 1,4b, WIFI 5",$509.99,4.69,2591
19,"ASUS Vivobook Go 15.6"" Laptop - Mixed Black (Intel Core i3-N305/8GB RAM/256GB SSD/Windows 11)",$400.37,4.2,25
20,"HP 15.6"" Laptop - Jet Black (Intel N100/512 GB SSD/8GB RAM/Windows 11 Home)",$300.37,4.08,238
21,"ASUS - Vivobook 14"" FHD 1920 x 1080 Laptop - Intel Core i3-1215U Processor - 8GB Memory - 256GB SSD - Quiet Blue - 1 x HDMI 1.4 - Wi-Fi 6E - Windows 11 Home in S Mode",$419.99,0.0,0
22,"Open Box - Lenovo IdeaPad Slim 3i 15.3"" Laptop - Luna Grey (Intel Core 3 - 100U/8GB RAM/512GB SSD/Windows 11)",$410.39,0.0,0
23,"Lenovo IdeaPad Slim 3 Laptop, 15.3"" IPS 60Hz, Ryzen 5 8540U, 8GB, 256GB SSD",$650.79,5.0,2
