,laptops,prices,ratings,votes
0,"ASUS C202SA 11.6"" Rugged Chromebook - Dark Grey (Intel Celeron N3060/16GB HDD/2GB RAM/Chrome OS)",$230.89,66.6,(6)
1,"Samsung ChromeBook XE303C12 11.6"", EXYNOS 5 Dual Core CORTEX-A15 1.7GHz, 2G RAM, 16G SSD, Chrome OS-Refurbished",$179.99,20.0,(1)
2,"Acer CB3 15.6"" Chromebook - Granite Grey (Intel Celeron N3060/16GB HDD/2GB RAM/Chrome OS) - English",$280.85,100.0,(6)
3,"Dell Latitude D620 14.1"" TFT Laptop, Intel Core 2 Duo T5500 1.66 GHz, 2G DDR2, 60GB SSD, DVD, Win10 Home(EN/FR)-Refurbished",$159.99,20.0,(1)
4,Lenovo N23 Series Laptop with 4GB RAM and 32GB Flash Storage 80UR0002US [Certified Refurbished],$259.99,60.0,(1)
5,"Lenovo IdeaPad MIIX 310-10ICR 80SG001FUS 10.1"" Touchscreen (In-plane Switching (IPS) Technology) 2 in 1 Netbook - Intel Atom",$350.89,60.0,(4)
6,"ASUS L406MA 14"" Laptop - Star Grey (Intel Celeron N4000/64GB HDD/4GB RAM/Windows 10)",$350.89,90.0,(2)
7,"HP 14"" Laptop - Snow White (Intel Celeron Processor N3060/32GB eMMC/4GB RAM/Windows 10)",$300.89,40.0,(1)
8,"Acer Swift 14"" Laptop - Silver (Intel Pentium N5000/64GB HDD/4GB RAM/Windows 10 S)",$430.89,76.0,(5)
9,"Refurbished Lenovo ThinkPad L430, Intel Celeron CPU B830 @ 1.80Ghz, 4GB Ram, 320GB Drive, Win 10 Home",$139.99,66.6,(9)
10,"HP 14"" Laptop - Natural Silver/Ash Silver (Intel Core i3-8130U/128GB SSD/4GB RAM/Windows 10 S)",$550.89,100.0,(1)
11,"ASUS C523NA 15.6"" Touchscreen Chromebook (Intel Pentium N4200/64GB HDD/4GB RAM/Chrome OS)",$430.89,100.0,(7)
12,"Acer 11.6"" Chromebook - White (Intel Celeron N3060/ 32GB eMMC/4GB RAM/Chrome OS)",$300.89,80.0,(4)
13,"Lenovo IdeaPad 15.6"" Laptop - Black (AMD E2-9000/500GB HDD/4 GB RAM/Windows 10)",$400.89,20.0,(1)
14,"ASUS C223NA 11.6"" Chromebook - Grey (Intel Celeron N3350/32GB HDD/4GB RAM/Chrome OS)",$260.89,65.0,(8)
15,"Lenovo S330 14"" Chromebook - Business Black (MediaTek MT8173C/32GB eMMC/4GB RAM)",$300.89,82.6,(8)
16,"ASUS 14"" Laptop - Star Grey (Intel Pentium Silver N5000/64GB eMMC/4GB RAM/Windows 10 S)",$430.89,90.0,(10)
17,"Dell Inspiron 15.6"" Laptop - Black (Intel Pent Silver N5000/500GB HDD/4GB RAM/Windows 10) - English",$370.89,50.0,(4)
18,"HP 14"" Laptop - Natural Silver (Intel Celeron N4000/64 GB HDD/4GB RAM/Windows 10 S)",$350.89,93.4,(3)
19,"Acer Chromebook 11.6"" Touchscreen Laptop - White (Intel Celeron N3160/32GB eMMC/4GB RAM/Chrome OS)",$400.89,81.4,(30)
20,"HP 14"" Touchscreen Chromebook - Chalkboard Grey (Intel Celeron N3350/32GB HDD/4GB RAM/Chrome OS)",$400.89,71.2,(9)
21,"ASUS 14"" Laptop - Star Grey (Intel Dual-Core Celeron N3060/64GB eMMC HDD/4GB RAM/Win 10) - Open Box",$330.89,60.0,(4)
22,"Acer R 13 13.3"" Touchscreen 2-in-1 Chromebook - Silver (MTK 8173C/32GB eMMC/4GB RAM/Chrome OS)",$450.89,100.0,(1)
23,"HP Pavilion x360 11.6"" 2-in-1 Laptop - Silver (Intel Pentium N4200/500GB HDD/4GB RAM) - Open Box",$400.89,30.0,(2)
24,HP ELITEBOOK 840 G1 I5 4200U 1.6 GHz DDR3 4GB 320GB 14.0W NO OPTICAL WIN 10 PRO WEBCAM - refurbished,$285.99,20.0,(1)
25,"ASUS Flip 12.5"" Chromebook - Silver (Intel Core m3-6Y30 / 64GB SSD / 4GB RAM / Chrome OS)",$650.89,82.8,(14)
26,"Acer Chromebook 11.6"" Touch Laptop -White (Intel Celeron N3160/32GB eMMC/4GB RAM/Chrome OS)-Open Box",$300.89,60.0,(2)
27,"Lenovo C330 11.6"" Touchscreen Chromebook - Blizzard White (MediaTek MT8173C/32GB SSD/ 4GB RAM)-Eng",$400.89,93.4,(210)
